Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Work_time
0.45,44.37,253.32,0.09,61.65,81.77,297.29,340.47,43.6
0.53,53.61,170.52,0.02,33.95,34.06,292.25,297.06,37.19
0.69,57.62,223.56,0.15,73.24,56.44,269.31,301.97,42.99
0.15,57.09,148.07,0.11,63.5,77.56,293.98,314.09,51.13
1.12,52.14,247.6,0.11,62.86,99.32,272.67,294.19,43
1.36,58.13,171.6,0.03,46.05,31.45,321.4,332.49,40.48
0.71,58.09,186.02,0.1,52.73,71.18,327.94,299.92,39.41
1.3,40,244.72,0.05,59.78,49.15,324.97,332.83,41.11
0.45,53.6,254.33,0.07,63.84,78.12,272.55,324.14,42.15
1.9,44.59,227.7,0.13,51.96,47.78,272.35,339.32,44.3
1.08,49.44,143.08,0.11,40.76,44.52,291.37,318.89,46.52
0.81,52.93,195.63,0.04,43.05,49.43,305.96,325.83,41.12
1.74,54.94,154.1,0.1,49.38,66.22,265.04,268.89,46.77
1.46,54.09,187.53,0.07,88.83,69.58,269.65,271.59,44.25
1.55,54.94,229.84,0.02,45.22,93.26,260.66,320.58,39.33
1.15,54.63,210.14,0.02,44.64,97.34,279.44,278.97,36.06
0.56,53.55,152.04,0.02,68.9,31.15,336.81,253.98,36.87
1.37,56.66,234.22,0.15,79.24,49.72,305.93,269.5,41.89
0.22,50.25,198.28,0.09,85.13,98.42,332.04,307.73,42.1
0.74,44.37,255.39,0.07,91.52,46.22,338.59,297.45,40.63
3.1,51.86,225.82,0.13,90.06,72.19,302.19,329.4,42.86
2.85,52.47,217.51,0.06,50.83,60.63,333.41,258.25,42.48
3.93,45.45,186.01,0.08,86.85,85.42,300.75,296.35,47.96
2.04,47.36,239.91,0.14,39.82,84.47,331.45,331.46,40.26
3.96,49.47,235.9,0.12,66.43,62.3,323.4,314.25,43.43
2.91,44.33,208.21,0.03,52.69,31.32,308.74,266.62,46.78
3.22,44.45,214.03,0.06,93.18,96.06,314.51,293.65,45.27
2.72,52.26,192.44,0.14,36.95,78.83,258.57,340.43,45.48
3.33,53.06,220.48,0.03,55.07,44.73,264.75,320.71,44.94
2.63,52.16,183.65,0.06,32.69,69.91,292.62,310.23,45.6
2.39,58.99,184.25,0.1,30.95,87.47,261.89,309.21,45.05
3.95,41.11,212.58,0.07,31.4,81.75,256.68,292.9,49.65
2.57,59.59,154.42,0.06,63.66,50.73,263.84,315.13,47.41
2.64,57.61,189.71,0.14,45.18,34.49,315.47,304.02,43.62
3.17,51.06,142.41,0.03,55.89,88.03,253.57,266.33,52.22
2.5,55.12,209.14,0.07,92.72,71.44,304.65,310.65,42.95
3.76,45,209.75,0.05,97.58,91.72,315.48,306.11,45.33
3.45,53.19,200.16,0.08,46.14,96.93,311.11,288.69,44.75
2.85,52.38,212.77,0.08,62.91,31.34,280.29,317.6,44.8
3.32,45.76,174.81,0.06,82.44,73.26,291.74,332.21,45.62
2.27,42.06,175.79,0.02,54.78,69.9,306.33,302.81,47.71
3.15,40.67,218.38,0.15,52.47,75.65,291.98,273.06,47.49
3.79,42.83,184.11,0.02,98.88,60.51,333.42,276.58,47.4
3.61,50.74,224.47,0.07,36.97,37.02,335.9,284.86,43.7
2.32,50.17,213.87,0.03,84.53,38.67,329.47,330.99,40.83
3.61,48.23,208.29,0.03,32.33,58.5,259.38,341.58,46.45
3.39,47.47,194.43,0.07,33.54,80.54,331.12,286.04,43.62
2.4,43.59,142.22,0.03,62.44,85.56,273.3,331.86,49.88
3.87,45.35,213.68,0.11,90.5,67.49,306.24,320.73,45.28
3.46,59.29,177.43,0.09,44.87,57.88,272.04,273.17,47.23
2.37,44.37,253.32,0.09,61.65,81.77,297.29,340.47,43.01
2.62,57.62,223.56,0.15,73.24,56.44,269.31,301.97,44.14
3.07,52.14,247.6,0.11,62.86,99.32,272.67,294.19,44.91
3.33,58.13,171.6,0.03,46.05,31.45,321.4,332.49,44.49
2.64,58.09,186.02,0.1,52.73,71.18,327.94,299.92,41.7
3.89,44.59,227.7,0.13,51.96,47.78,272.35,339.32,45.66
2.75,52.93,195.63,0.04,43.05,49.43,305.96,325.83,43.61
3.43,54.09,187.53,0.07,88.83,69.58,269.65,271.59,47.7
3.53,54.94,229.84,0.02,45.22,93.26,260.66,320.58,45.04
3.1,54.63,210.14,0.02,44.64,97.34,279.44,278.97,46.17
2.48,53.55,152.04,0.02,68.9,31.15,336.81,253.98,48.11
3.34,56.66,234.22,0.15,79.24,49.72,305.93,269.5,43.95
2.13,50.25,198.28,0.09,85.13,98.42,332.04,307.73,39.74
2.68,44.37,255.39,0.07,91.52,46.22,338.59,297.45,42.25
3.88,54.31,235.9,0.08,79.6,74.13,331.84,297.98,41.79
2.69,57.25,157.78,0.12,98.95,98.73,296.2,320.97,45.1
3.64,45.96,162.78,0.07,38.45,65.79,273.34,341.41,48.23
2.2,48.12,243.46,0.09,54.05,98.1,339.63,324.15,37.87
3.81,48.23,232.89,0.06,57.96,53.32,260.45,280.31,47.63
2.81,55.5,167.87,0.14,52.77,39.27,257.96,338.91,45.89
2.16,45.01,150.75,0.1,86.73,77.04,275.23,292.04,49.14
2.84,55.04,206.88,0.13,56.53,90.24,318.58,261.84,43.15
2.54,45.12,155.78,0.09,63.35,33.88,280.29,297.06,49.2
2.86,51.13,201.2,0.03,40.07,67.53,314.48,311.6,43.95
2.37,42.59,248.48,0.09,36.46,68.07,294.27,335.1,44.24
3.81,48.53,222.8,0.08,70.61,78.97,282.64,317.61,45.77
3.72,51.16,194.87,0.02,73.52,96.63,304.97,330.82,43.24
3.64,43.15,249.06,0.15,35.95,87.09,267.5,261.65,47.96
1.27,71.86,225.82,0.13,90.06,72.19,302.19,329.4,37.98
1.21,72.47,217.51,0.06,50.83,60.63,333.41,258.25,35.97
1.28,67.86,251.07,0.13,53.62,34.97,260.99,311.49,40.32
1.01,67.36,239.91,0.14,39.82,84.47,331.45,331.46,36.68
1.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,35.85
1.26,62.12,189.76,0.08,43.04,48.52,322.83,319.47,39.72
1.23,64.33,208.21,0.03,52.69,31.32,308.74,266.62,37.96
1.31,64.45,214.03,0.06,93.18,96.06,314.51,293.65,38.48
1.49,79.18,152.25,0.1,74.45,44.62,267.67,342.73,40.55
1.08,66.76,153.25,0.1,52.2,75.94,265.59,323.2,43.64
1.42,73.47,151.53,0.15,91.47,98.35,295.33,299.02,42.26
1.16,77.61,189.71,0.14,45.18,34.49,315.47,304.02,38.74
1.29,61.66,251.52,0.05,30.65,52.3,313.22,328.96,38.26
1.07,72.94,225.96,0.13,48.53,50.26,269.64,288.95,39.91
1.29,71.06,142.41,0.03,55.89,88.03,253.57,266.33,43.85
1.35,62.32,175.69,0.12,58.83,86.97,288.84,313.94,42.51
1.33,65.76,174.81,0.06,82.44,73.26,291.74,332.21,40.36
1.07,62.06,175.79,0.02,54.78,69.9,306.33,302.81,37.81
1.29,60.67,218.38,0.15,52.47,75.65,291.98,273.06,41.78
1.36,69.38,259.86,0.13,93.33,40.46,331.28,256.53,37.84
1.08,70.17,213.87,0.03,84.53,38.67,329.47,330.99,32.8
1.4,68.23,208.29,0.03,32.33,58.5,259.38,341.58,37
1.49,60.33,242.7,0.04,83.54,30.82,285.55,338.12,38.24
1.36,75,160.6,0.06,64.27,66.47,258.04,283.66,41.99
1.1,63.59,142.22,0.03,62.44,85.56,273.3,331.86,43.9
1.17,78.88,251.37,0.1,71.77,79.31,256.02,323.68,37.39
1.08,70,214.58,0.02,78.94,70.41,274.56,342.47,41.43
1.37,79.29,177.43,0.09,44.87,57.88,272.04,273.17,40.29
1.01,77.09,148.07,0.11,63.5,77.56,293.98,314.09,41.6
1.27,72.14,247.6,0.11,62.86,99.32,272.67,294.19,39.17
1.71,72.47,217.51,0.06,50.83,60.63,333.41,258.25,36.77
1.98,65.45,186.01,0.08,86.85,85.42,300.75,296.35,41.76
1.51,67.36,239.91,0.14,39.82,84.47,331.45,331.46,36.4
1.99,69.47,235.9,0.12,66.43,62.3,323.4,314.25,38.2
1.56,74.41,216.79,0.09,67.62,40.03,338.17,321.43,35.92
1.73,64.33,208.21,0.03,52.69,31.32,308.74,266.62,39.97
1.68,72.26,192.44,0.14,36.95,78.83,258.57,340.43,40.87
1.83,73.06,220.48,0.03,55.07,44.73,264.75,320.71,38.17
